episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,9,train,S7,368.93,436.99,-0.39,-1.0,1.07,84.0,2,0,3,361.58,160.72,0
0,9,train,S8,676.83,809.23,-1.44,-1.76,2.27,90.39,1,0,0,730.94,330.51,0
0,9,train,S9,549.23,380.62,0.95,3.6,3.73,85.5,2,1,3,284.91,157.28,0
0,9,train,S10,703.6,166.53,4.3,-1.57,4.57,80.04,2,0,1,214.2,416.61,0
0,9,train,S11,366.36,533.12,-3.02,1.24,3.26,79.57,3,0,2,453.26,133.67,0
0,9,train,S12,377.35,786.27,3.83,1.46,4.1,83.74,2,0,2,697.14,284.11,0
0,9,train,S13,552.85,673.82,-2.44,1.34,2.78,93.99,2,0,3,576.25,153.22,0
0,9,train,S14,694.33,485.04,4.79,-1.31,4.97,84.68,3,0,4,431.3,199.46,0
0,9,train,S15,666.51,336.47,1.12,3.74,3.9,86.04,1,0,2,289.21,255.3,0
0,9,train,S16,460.07,724.52,-1.61,-1.54,2.23,83.1,1,0,5,625.79,198.57,0
0,9,train,S17,564.16,450.91,-0.56,4.63,4.66,70.71,3,0,4,356.73,101.84,0
0,9,train,S18,516.09,610.41,-0.4,-1.01,1.08,89.29,3,1,2,510.67,82.01,0
0,9,train,S19,596.21,176.21,-0.64,-4.13,4.18,86.15,2,0,2,122.74,366.64,0
0,10,train,S0,513.72,197.37,-4.77,0.54,4.8,96.07,2,0,1,98.33,302.94,0
0,10,train,S1,315.61,361.72,1.02,-1.37,1.7,87.13,3,0,1,320.15,230.49,0
0,10,train,S2,596.29,396.45,-0.07,-1.73,1.73,71.99,3,0,5,311.69,141.4,0
0,10,train,S3,323.59,767.75,-1.07,-1.66,1.98,84.2,2,0,1,690.66,320.64,0
0,10,train,S4,459.74,670.7,2.39,0.54,2.45,95.55,1,0,3,572.12,175.39,0
0,10,train,S5,643.7,517.56,3.74,-2.57,4.54,70.21,2,0,4,441.59,144.77,0
0,10,train,S6,590.24,699.0,-0.26,0.99,1.02,92.26,3,0,5,605.76,218.5,0
0,10,train,S7,368.54,435.99,-0.39,-1.0,1.07,83.99,2,0,3,360.79,146.21,0
0,10,train,S8,675.39,807.47,-1.44,-1.76,2.27,90.38,1,0,1,728.89,353.98,0
0,10,train,S9,550.18,384.23,0.95,3.6,3.73,85.49,2,0,3,288.62,126.18,0
0,10,train,S10,707.9,164.97,4.3,-1.57,4.57,80.03,2,0,1,217.81,394.3,0
0,10,train,S11,363.34,534.35,-3.02,1.24,3.26,79.56,3,0,2,455.34,140.91,0
0,10,train,S12,381.18,787.73,3.83,1.46,4.1,83.73,2,0,2,697.92,311.3,0
0,10,train,S13,550.41,675.15,-2.44,1.34,2.78,93.98,2,0,3,577.36,182.26,0
0,10,train,S14,699.12,483.73,4.79,-1.31,4.97,84.67,3,0,4,432.32,199.79,0
0,10,train,S15,667.63,340.21,1.12,3.74,3.9,86.03,1,0,2,292.92,231.59,0
0,10,train,S16,458.46,722.97,-1.61,-1.54,2.23,83.09,1,0,5,624.36,226.81,0
0,10,train,S17,563.6,455.54,-0.56,4.63,4.66,70.7,3,0,4,361.18,77.6,0
0,10,train,S18,515.7,609.41,-0.4,-1.01,1.08,89.28,3,1,2,509.65,110.53,0
0,10,train,S19,595.57,172.08,-0.64,-4.13,4.18,86.14,2,0,2,119.7,341.56,0
0,11,train,S0,508.95,197.9,-4.77,0.54,4.8,96.06,2,0,1,98.31,272.24,0
0,11,train,S1,316.62,360.35,1.02,-1.37,1.7,87.12,3,0,1,318.45,213.66,0
0,11,train,S2,596.22,394.72,-0.07,-1.73,1.73,71.98,3,0,5,310.03,122.17,0
0,11,train,S3,322.52,766.09,-1.07,-1.66,1.98,84.19,2,0,1,689.33,345.21,0
0,11,train,S4,462.13,671.24,2.39,0.54,2.45,95.54,1,0,3,572.49,204.77,0
0,11,train,S5,647.44,514.99,3.74,-2.57,4.54,70.2,2,0,4,440.4,154.15,0
0,11,train,S6,589.98,699.99,-0.26,0.99,1.02,92.25,3,0,5,606.7,246.96,0
0,11,train,S7,368.16,434.99,-0.39,-1.0,1.07,83.98,2,0,3,360.0,136.41,0
0,11,train,S8,673.95,805.71,-1.44,-1.76,2.27,90.37,1,0,1,726.84,378.1,0
0,11,train,S9,551.13,387.83,0.95,3.6,3.73,85.48,2,0,3,292.34,96.78,0
0,11,train,S10,712.19,163.4,4.3,-1.57,4.57,80.02,2,0,1,221.46,372.87,0
0,11,train,S11,360.32,535.59,-3.02,1.24,3.26,79.55,3,0,2,457.43,154.31,0
0,11,train,S12,385.01,789.19,3.83,1.46,4.1,83.72,2,0,2,698.71,339.27,0
0,11,train,S13,547.96,676.49,-2.44,1.34,2.78,93.97,2,0,3,578.48,211.99,0
0,11,train,S14,703.92,482.42,4.79,-1.31,4.97,84.66,3,0,3,433.39,204.29,0
0,11,train,S15,668.75,343.95,1.12,3.74,3.9,86.02,1,0,2,296.63,210.64,0
0,11,train,S16,456.85,721.43,-1.61,-1.54,2.23,83.08,1,0,5,622.93,255.11,0
0,11,train,S17,563.04,460.17,-0.56,4.63,4.66,70.69,3,0,3,365.64,63.8,0
0,11,train,S18,515.3,608.4,-0.4,-1.01,1.08,89.27,3,1,2,508.63,139.24,0
0,11,train,S19,594.93,167.96,-0.64,-4.13,4.18,86.13,2,0,2,116.74,316.61,0
0,12,train,S0,504.18,198.44,-4.77,0.54,4.8,96.05,2,0,1,98.53,241.6,0
0,12,train,S1,317.64,358.98,1.02,-1.37,1.7,87.11,3,0,2,316.74,199.55,0
0,12,train,S2,596.15,392.99,-0.07,-1.73,1.73,71.97,3,0,4,308.36,107.02,0
0,12,train,S3,321.44,764.43,-1.07,-1.66,1.98,84.18,2,0,1,688.0,370.32,0
