episode_id,timestep,split,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,dist_to_cs,cs_connected,avg_sensor_dist,covered_sensors_count,network_components
9,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,320.44,10,4
9,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,321.34,10,4
9,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,322.26,10,4
10,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,379.01,8,4
10,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,360.62,8,4
10,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,344.97,8,4
10,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,331.75,9,4
10,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,320.22,10,4
10,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,310.11,11,4
10,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,301.26,11,4
10,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,293.51,12,3
10,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,286.74,12,4
10,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,280.88,12,5
10,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,275.96,10,5
10,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,272.09,10,5
10,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,269.46,12,5
10,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,268.25,12,6
10,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,268.69,13,6
10,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,271.45,13,6
10,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,277.94,12,5
10,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,287.62,12,5
10,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,301.63,12,5
10,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,301.88,12,4
10,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,302.18,12,4
10,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,302.52,12,4
10,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,302.92,12,4
10,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,303.37,12,5
