episode_id,timestep,split,source_node,target_node,distance_m,link_quality,is_active,crosses_disruption
0,10,train,S2,S15,90.84,0.5458,1,0
0,10,train,S2,S17,67.53,0.6623,1,0
0,10,train,S3,S12,60.95,0.6952,1,0
0,10,train,S4,S6,133.53,0.3323,1,0
0,10,train,S4,S13,90.78,0.5461,1,0
0,10,train,S4,S16,52.29,0.7386,1,0
0,10,train,S5,S14,64.93,0.6753,1,0
0,10,train,S5,S17,101.3,0.4935,1,0
0,10,train,S5,UAV,144.77,0.5174,1,1
0,10,train,S6,S8,137.9,0.3105,1,0
0,10,train,S6,S13,46.42,0.7679,1,0
0,10,train,S6,S16,133.94,0.3303,1,0
0,10,train,S6,S18,116.55,0.4173,1,1
0,10,train,S7,S11,98.5,0.5075,1,0
0,10,train,S7,UAV,146.21,0.5126,1,1
0,10,train,S9,S15,125.43,0.3729,1,0
0,10,train,S9,S17,72.56,0.6372,1,0
0,10,train,S10,S19,112.55,0.4372,1,0
0,10,train,S11,UAV,140.91,0.5303,1,1
0,10,train,S12,S16,100.82,0.4959,1,0
0,10,train,S13,S16,103.64,0.4818,1,0
0,10,train,S14,S17,138.42,0.3079,1,0
0,10,train,S14,UAV,199.79,0.334,1,1
0,10,train,S16,S18,127.18,0.3641,1,1
0,11,train,S0,S19,91.04,0.5448,1,0
0,11,train,S1,S7,90.71,0.5465,1,0
0,11,train,S2,S5,130.72,0.3464,1,0
0,11,train,S2,S9,45.61,0.772,1,0
0,11,train,S2,S14,138.89,0.3056,1,0
0,11,train,S2,S15,88.54,0.5573,1,0
0,11,train,S2,S17,73.38,0.6331,1,0
0,11,train,S3,S12,66.62,0.6669,1,0
0,11,train,S4,S6,131.04,0.3448,1,0
0,11,train,S4,S13,86.0,0.57,1,0
0,11,train,S4,S16,50.47,0.7477,1,0
0,11,train,S5,S14,65.2,0.674,1,0
0,11,train,S5,S17,100.64,0.4968,1,0
0,11,train,S5,UAV,154.15,0.4862,1,1
0,11,train,S6,S8,135.02,0.3249,1,0
0,11,train,S6,S13,48.14,0.7593,1,0
0,11,train,S6,S16,134.84,0.3258,1,0
0,11,train,S6,S18,118.17,0.4091,1,1
0,11,train,S7,S11,100.9,0.4955,1,0
0,11,train,S7,UAV,136.41,0.5453,1,1
0,11,train,S9,S15,125.54,0.3723,1,0
0,11,train,S9,S17,73.31,0.6335,1,0
0,11,train,S10,S19,117.35,0.4132,1,0
0,11,train,S11,UAV,154.31,0.4856,1,1
0,11,train,S12,S16,98.75,0.5062,1,0
0,11,train,S13,S16,101.59,0.492,1,0
0,11,train,S14,UAV,204.29,0.319,1,1
0,11,train,S16,S18,127.25,0.3637,1,1
0,12,train,S0,S19,96.52,0.5174,1,0
0,12,train,S1,S7,90.22,0.5489,1,0
0,12,train,S1,UAV,199.55,0.3348,1,1
0,12,train,S2,S5,131.5,0.3425,1,0
0,12,train,S2,S9,44.09,0.7795,1,0
0,12,train,S2,S15,86.54,0.5673,1,0
0,12,train,S2,S17,79.3,0.6035,1,0
0,12,train,S3,S12,72.32,0.6384,1,0
0,12,train,S4,S6,128.56,0.3572,1,0
0,12,train,S4,S13,81.23,0.5938,1,0
0,12,train,S4,S16,49.0,0.755,1,0
0,12,train,S5,S14,65.5,0.6725,1,0
0,12,train,S5,S17,100.68,0.4966,1,0
0,12,train,S5,UAV,167.63,0.4412,1,1
0,12,train,S6,S8,132.14,0.3393,1,0
0,12,train,S6,S13,49.89,0.7505,1,0
0,12,train,S6,S16,135.8,0.321,1,0
0,12,train,S6,S18,119.81,0.4009,1,1
0,12,train,S7,S11,103.36,0.4832,1,0
0,12,train,S7,UAV,132.36,0.5588,1,1
0,12,train,S9,S15,125.66,0.3717,1,0
0,12,train,S9,S17,74.09,0.6295,1,0
0,12,train,S10,S19,122.22,0.3889,1,0
0,12,train,S11,UAV,172.45,0.4252,1,1
0,12,train,S12,S16,97.03,0.5148,1,0
0,12,train,S13,S16,99.6,0.502,1,0
0,12,train,S14,S15,138.96,0.3052,1,0
0,12,train,S15,UAV,193.34,0.3555,1,1
0,12,train,S16,S18,127.34,0.3633,1,1
0,13,train,S0,S19,102.08,0.4896,1,0
0,13,train,S1,S7,89.76,0.5512,1,0
0,13,train,S1,UAV,188.76,0.3708,1,1
0,13,train,S2,S5,132.38,0.3381,1,0
0,13,train,S2,S9,43.21,0.7839,1,0
0,13,train,S2,S15,84.86,0.5757,1,0
0,13,train,S2,S17,85.3,0.5735,1,0
0,13,train,S3,S12,78.03,0.6099,1,0
0,13,train,S4,S6,126.09,0.3696,1,0
0,13,train,S4,S13,76.48,0.6176,1,0
0,13,train,S4,S16,47.91,0.7605,1,0
0,13,train,S5,S14,65.84,0.6708,1,0
0,13,train,S5,S17,101.41,0.493,1,0
0,13,train,S5,UAV,184.31,0.3856,1,1
0,13,train,S6,S8,129.26,0.3537,1,0
0,13,train,S6,S13,51.68,0.7416,1,0
0,13,train,S6,S16,136.82,0.3159,1,0
0,13,train,S6,S18,121.46,0.3927,1,1
0,13,train,S7,S11,105.88,0.4706,1,0
0,13,train,S7,UAV,134.59,0.5514,1,1
0,13,train,S9,S15,125.78,0.3711,1,0
0,13,train,S9,S17,74.91,0.6254,1,0
0,13,train,S10,S19,127.14,0.3643,1,0
0,13,train,S11,UAV,193.99,0.3534,1,1
0,13,train,S12,S16,95.69,0.5216,1,0
0,13,train,S13,S16,97.66,0.5117,1,0
0,13,train,S14,S15,135.23,0.3239,1,0
0,13,train,S15,UAV,180.76,0.3975,1,1
0,13,train,S16,S18,127.44,0.3628,1,1
0,14,train,S0,S19,107.72,0.4614,1,0
0,14,train,S0,UAV,180.57,0.3981,1,1
0,14,train,S1,S7,89.31,0.5534,1,0
0,14,train,S1,UAV,181.89,0.3937,1,1
0,14,train,S2,S5,133.38,0.3331,1,0
0,14,train,S2,S9,43.0,0.785,1,0
0,14,train,S2,S15,83.53,0.5824,1,0
0,14,train,S2,S17,91.34,0.5433,1,0
0,14,train,S3,S12,83.75,0.5812,1,0
0,14,train,S3,S16,139.91,0.3004,1,0
0,14,train,S4,S6,123.62,0.3819,1,0
0,14,train,S4,S13,71.75,0.6412,1,0
0,14,train,S4,S16,47.23,0.7639,1,0
0,14,train,S5,S14,66.22,0.6689,1,0
0,14,train,S5,S17,102.82,0.4859,1,0
0,14,train,S5,UAV,203.41,0.322,1,1
0,14,train,S6,S8,126.39,0.368,1,0
0,14,train,S6,S13,53.5,0.7325,1,0
0,14,train,S6,S16,137.88,0.3106,1,0
0,14,train,S6,S18,123.12,0.3844,1,1
0,14,train,S7,S11,108.45,0.4577,1,0
0,14,train,S7,UAV,142.8,0.524,1,1
0,14,train,S9,S15,125.9,0.3705,1,0
0,14,train,S9,S17,75.77,0.6212,1,0
0,14,train,S10,S19,132.12,0.3394,1,0
0,14,train,S12,S16,94.73,0.5263,1,0
0,14,train,S13,S16,95.77,0.5211,1,0
0,14,train,S14,S15,131.69,0.3416,1,0
0,14,train,S15,UAV,173.91,0.4203,1,1
0,14,train,S16,S18,127.56,0.3622,1,1
0,15,train,S0,S19,113.42,0.4329,1,0
0,15,train,S0,UAV,150.29,0.499,1,1
0,15,train,S1,S7,88.89,0.5555,1,0
0,15,train,S1,UAV,179.38,0.4021,1,1
0,15,train,S2,S5,134.47,0.3276,1,0
0,15,train,S2,S9,43.48,0.7826,1,0
0,15,train,S2,S15,82.55,0.5873,1,0
0,15,train,S2,S17,97.43,0.5129,1,0
0,15,train,S3,S12,89.49,0.5526,1,0
0,15,train,S3,S16,139.37,0.3032,1,0
0,15,train,S4,S6,121.17,0.3942,1,0
0,15,train,S4,S13,67.05,0.6648,1,0
0,15,train,S4,S16,46.97,0.7651,1,0
0,15,train,S5,S14,66.63,0.6668,1,0
0,15,train,S5,S17,104.89,0.4756,1,0
0,15,train,S6,S8,123.53,0.3824,1,0
0,15,train,S6,S13,55.35,0.7233,1,0
0,15,train,S6,S16,139.0,0.305,1,0
0,15,train,S6,S18,124.79,0.3761,1,1
0,15,train,S7,S11,111.07,0.4446,1,0
0,15,train,S7,UAV,156.05,0.4798,1,1
0,15,train,S9,S15,126.02,0.3699,1,0
0,15,train,S9,S17,76.65,0.6167,1,0
0,15,train,S10,S19,137.14,0.3143,1,0
0,15,train,S12,S16,94.18,0.5291,1,0
